subject,position,trial_order,trial_type,trial_id,A_pro,B_pro,begintime,unixtime,A_state,B_state,data_type
pilot_zj,,,formal,1,G,G,,,N,G,final
pilot_zj,,,formal,2,G,G,,,N,N,final
pilot_zj,,,formal,3,P,G,,,P,G,final
pilot_zj,,,formal,4,P,G,,,P,G,final
pilot_zj,,,formal,5,N,G,,,G,G,final
pilot_zj,,,formal,6,N,G,,,N,N,final
pilot_zj,,,formal,7,G,P,,,G,P,final
pilot_zj,,,formal,8,G,P,,,G,P,final
pilot_zj,,,formal,9,P,P,,,P,N,final
pilot_zj,,,formal,10,P,P,,,P,N,final
pilot_zj,,,formal,11,N,P,,,N,P,final
pilot_zj,,,formal,12,N,P,,,N,P,final
pilot_zj,,,formal,13,G,N,,,G,N,final
pilot_zj,,,formal,14,G,N,,,G,N,final
pilot_zj,,,formal,15,P,N,,,P,G,final
pilot_zj,,,formal,16,P,N,,,P,N,final
pilot_zj,,,formal,17,N,N,,,N,N,final
pilot_zj,,,formal,18,N,N,,,N,N,final
pilot_zj,,,formal,19,P,P,,,N,P,final
pilot_jl,,,formal,1,G,G,,,G,G,final
pilot_jl,,,formal,2,G,G,,,G,G,final
pilot_jl,,,formal,3,P,G,,,P,G,final
pilot_jl,,,formal,4,P,G,,,P,G,final
pilot_jl,,,formal,5,N,G,,,G,G,final
pilot_jl,,,formal,6,N,G,,,N,G,final
pilot_jl,,,formal,7,G,P,,,G,P,final
pilot_jl,,,formal,8,G,P,,,G,N,final
pilot_jl,,,formal,9,P,P,,,P,P,final
pilot_jl,,,formal,10,P,P,,,P,N,final
pilot_jl,,,formal,11,N,P,,,N,P,final
pilot_jl,,,formal,12,N,P,,,G,P,final
pilot_jl,,,formal,13,G,N,,,G,G,final
pilot_jl,,,formal,14,G,N,,,G,N,final
pilot_jl,,,formal,15,P,N,,,P,G,final
pilot_jl,,,formal,16,P,N,,,P,N,final
pilot_jl,,,formal,17,N,N,,,N,N,final
pilot_jl,,,formal,18,N,N,,,N,P,final
pilot_jl,,,formal,19,P,P,,,P,P,final
pilot_bn,,,formal,1,G,G,,,N,G,final
pilot_bn,,,formal,2,G,G,,,G,N,final
pilot_bn,,,formal,3,P,G,,,P,G,final
pilot_bn,,,formal,4,P,G,,,P,G,final
pilot_bn,,,formal,5,N,G,,,G,G,final
pilot_bn,,,formal,6,N,G,,,G,N,final
pilot_bn,,,formal,7,G,P,,,G,P,final
pilot_bn,,,formal,8,G,P,,,G,N,final
pilot_bn,,,formal,9,P,P,,,P,P,final
pilot_bn,,,formal,10,P,P,,,P,N,final
pilot_bn,,,formal,11,N,P,,,P,P,final
pilot_bn,,,formal,12,N,P,,,G,P,final
pilot_bn,,,formal,13,G,N,,,G,N,final
pilot_bn,,,formal,14,G,N,,,G,N,final
pilot_bn,,,formal,15,P,N,,,P,P,final
pilot_bn,,,formal,16,P,N,,,P,N,final
pilot_bn,,,formal,17,N,N,,,N,N,final
pilot_bn,,,formal,18,N,N,,,G,N,final
pilot_bn,,,formal,19,P,P,,,N,N,final