stiType,stiID,stiName,obj,time
PG,1,PG1,E,0
PG,1,PG1,A,2
PG,1,PG1,E,5
PG,1,PG1,B,7
PG,1,PG1,E,8.5
PG,1,PG1,A,9.8
PG,1,PG1,B,10.5
PG,1,PG1,E,14.5
PG,1,PG1,B,16.5
PG,1,PG1,A,17.5
PG,2,PG2,E,0
PG,2,PG2,B,0.8
PG,2,PG2,A,2
PG,2,PG2,E,5.2
PG,2,PG2,A,9.5
PG,2,PG2,B,11
PG,2,PG2,E,12.5
PG,2,PG2,A,14
PG,2,PG2,B,15
PG,2,PG2,E,19.5
PG,3,PG3,E,0
PG,3,PG3,B,2.5
PG,3,PG3,E,4
PG,3,PG3,A,5
PG,3,PG3,B,6.2
PG,3,PG3,E,10.2
PG,3,PG3,A,11
PG,3,PG3,B,12
PG,3,PG3,A,15
PG,3,PG3,E,19.6
PG,4,PG4,E,0
PG,4,PG4,B,2.5
PG,4,PG4,A,4
PG,4,PG4,A,9.5
PG,4,PG4,B,11
PG,4,PG4,E,12.5
PG,4,PG4,B,14
PG,4,PG4,A,15
PG,4,PG4,E,19.5
GN,1,GN1,E,0
GN,1,GN1,B,3
GN,1,GN1,E,5
GN,1,GN1,A,5.5
GN,1,GN1,E,7
GN,1,GN1,A,7.5
GN,1,GN1,B,9
GN,1,GN1,E,9.5
GN,1,GN1,E,10.5
GN,1,GN1,B,12
GN,1,GN1,A,13
GN,1,GN1,E,14.5
GN,1,GN1,E,15.8
GN,2,GN2,E,0
GN,2,GN2,A,2.5
GN,2,GN2,E,4
GN,2,GN2,B,4.5
GN,2,GN2,E,5.5
GN,2,GN2,A,8
GN,2,GN2,B,9
GN,2,GN2,E,10
GN,2,GN2,E,11.3
GN,2,GN2,A,12
GN,2,GN2,B,13
GN,2,GN2,E,13.5
GN,2,GN2,E,16
GN,3,GN3,E,0
GN,3,GN3,A,4
GN,3,GN3,B,5
GN,3,GN3,E,5.5
GN,3,GN3,E,6
GN,3,GN3,A,7
GN,3,GN3,B,8.5
GN,3,GN3,E,9
GN,3,GN3,E,11.5
GN,3,GN3,B,13.8
GN,3,GN3,E,15.9
GN,3,GN3,A,17.8
GN,3,GN3,E,19.3
GN,4,GN4,E,0
GN,4,GN4,A,3
GN,4,GN4,B,3.5
GN,4,GN4,E,4.5
GN,4,GN4,E,5.8
GN,4,GN4,B,9
GN,4,GN4,E,9.8
GN,4,GN4,A,11.5
GN,4,GN4,B,12.8
GN,4,GN4,E,13.5
GN,4,GN4,E,15.7
GN,4,GN4,A,17
GN,4,GN4,E,19